year,club,titles,rank,color1,color2,titlesChar
1963,Barcelona,8,2,#004c99,#000000, 8
1963,Athletic Bilbao,6,3,#ee2523,#000000, 6
1963,Real Betis,1,6,#0BB363,#000000, 1
1963,Valencia,3,5,#ee3524,#000000, 3
1964,Sevilla,1,7,#f43333,#000000, 1
1964,Atlético Madrid,4,4,#CB3524,#000000, 4
1964,Real Madrid,10,1,#FEBE10,#000000, 10
1964,Barcelona,8,2,#004c99,#000000, 8
1964,Athletic Bilbao,6,3,#ee2523,#000000, 6
1964,Real Betis,1,6,#0BB363,#000000, 1
1964,Valencia,3,5,#ee3524,#000000, 3
1965,Sevilla,1,7,#f43333,#000000, 1
1965,Atlético Madrid,4,4,#CB3524,#000000, 4
1965,Real Madrid,11,1,#FEBE10,#000000, 11
1965,Barcelona,8,2,#004c99,#000000, 8
1965,Athletic Bilbao,6,3,#ee2523,#000000, 6
1965,Real Betis,1,6,#0BB363,#000000, 1
1965,Valencia,3,5,#ee3524,#000000, 3
1966,Sevilla,1,7,#f43333,#000000, 1
1966,Atlético Madrid,5,4,#CB3524,#000000, 5
1966,Real Madrid,11,1,#FEBE10,#000000, 11
1966,Barcelona,8,2,#004c99,#000000, 8
1966,Athletic Bilbao,6,3,#ee2523,#000000, 6
1966,Real Betis,1,6,#0BB363,#000000, 1
1966,Valencia,3,5,#ee3524,#000000, 3
1967,Sevilla,1,7,#f43333,#000000, 1
1967,Atlético Madrid,5,4,#CB3524,#000000, 5
1967,Real Madrid,12,1,#FEBE10,#000000, 12
1967,Barcelona,8,2,#004c99,#000000, 8
1967,Athletic Bilbao,6,3,#ee2523,#000000, 6
1967,Real Betis,1,6,#0BB363,#000000, 1
1967,Valencia,3,5,#ee3524,#000000, 3
1968,Sevilla,1,7,#f43333,#000000, 1
1968,Atlético Madrid,5,4,#CB3524,#000000, 5
1968,Real Madrid,13,1,#FEBE10,#000000, 13
1968,Barcelona,8,2,#004c99,#000000, 8
1968,Athletic Bilbao,6,3,#ee2523,#000000, 6
1968,Real Betis,1,6,#0BB363,#000000, 1
1968,Valencia,3,5,#ee3524,#000000, 3
1969,Sevilla,1,7,#f43333,#000000, 1
1969,Atlético Madrid,5,4,#CB3524,#000000, 5
1969,Real Madrid,14,1,#FEBE10,#000000, 14
1969,Barcelona,8,2,#004c99,#000000, 8
1969,Athletic Bilbao,6,3,#ee2523,#000000, 6
1969,Real Betis,1,6,#0BB363,#000000, 1
1969,Valencia,3,5,#ee3524,#000000, 3
1970,Sevilla,1,7,#f43333,#000000, 1
1970,Atlético Madrid,6,4,#CB3524,#000000, 6
1970,Real Madrid,14,1,#FEBE10,#000000, 14
1970,Barcelona,8,2,#004c99,#000000, 8
1970,Athletic Bilbao,6,3,#ee2523,#000000, 6
1970,Real Betis,1,6,#0BB363,#000000, 1
1970,Valencia,3,5,#ee3524,#000000, 3
1971,Sevilla,1,7,#f43333,#000000, 1
1971,Atlético Madrid,6,4,#CB3524,#000000, 6
1971,Real Madrid,14,1,#FEBE10,#000000, 14
1971,Barcelona,8,2,#004c99,#000000, 8
1971,Athletic Bilbao,6,3,#ee2523,#000000, 6
1971,Real Betis,1,6,#0BB363,#000000, 1
1971,Valencia,4,5,#ee3524,#000000, 4
1972,Sevilla,1,7,#f43333,#000000, 1
1972,Atlético Madrid,6,4,#CB3524,#000000, 6
1972,Real Madrid,15,1,#FEBE10,#000000, 15
1972,Barcelona,8,2,#004c99,#000000, 8
1972,Athletic Bilbao,6,3,#ee2523,#000000, 6
1972,Real Betis,1,6,#0BB363,#000000, 1
1972,Valencia,4,5,#ee3524,#000000, 4
1973,Sevilla,1,7,#f43333,#000000, 1
1973,Atlético Madrid,7,3,#CB3524,#000000, 7
1973,Real Madrid,15,1,#FEBE10,#000000, 15
1973,Barcelona,8,2,#004c99,#000000, 8
1973,Athletic Bilbao,6,4,#ee2523,#000000, 6
1973,Real Betis,1,6,#0BB363,#000000, 1
1973,Valencia,4,5,#ee3524,#000000, 4
1974,Sevilla,1,7,#f43333,#000000, 1
1974,Atlético Madrid,7,3,#CB3524,#000000, 7
1974,Real Madrid,15,1,#FEBE10,#000000, 15
1974,Barcelona,9,2,#004c99,#000000, 9
1974,Athletic Bilbao,6,4,#ee2523,#000000, 6
1974,Real Betis,1,6,#0BB363,#000000, 1
1974,Valencia,4,5,#ee3524,#000000, 4
1975,Sevilla,1,7,#f43333,#000000, 1
1975,Atlético Madrid,7,3,#CB3524,#000000, 7
1975,Real Madrid,16,1,#FEBE10,#000000, 16
1975,Barcelona,9,2,#004c99,#000000, 9
1975,Athletic Bilbao,6,4,#ee2523,#000000, 6
1975,Real Betis,1,6,#0BB363,#000000, 1
1975,Valencia,4,5,#ee3524,#000000, 4
1976,Sevilla,1,7,#f43333,#000000, 1
1976,Atlético Madrid,7,3,#CB3524,#000000, 7
1976,Real Madrid,17,1,#FEBE10,#000000, 17
1976,Barcelona,9,2,#004c99,#000000, 9
1976,Athletic Bilbao,6,4,#ee2523,#000000, 6
1976,Real Betis,1,6,#0BB363,#000000, 1
1976,Valencia,4,5,#ee3524,#000000, 4
1977,Sevilla,1,7,#f43333,#000000, 1
1977,Atlético Madrid,8,3,#CB3524,#000000, 8
1977,Real Madrid,17,1,#FEBE10,#000000, 17
1977,Barcelona,9,2,#004c99,#000000, 9
1977,Athletic Bilbao,6,4,#ee2523,#000000, 6
1977,Real Betis,1,6,#0BB363,#000000, 1
1977,Valencia,4,5,#ee3524,#000000, 4
1978,Sevilla,1,7,#f43333,#000000, 1
1978,Atlético Madrid,8,3,#CB3524,#000000, 8
1978,Real Madrid,18,1,#FEBE10,#000000, 18
1978,Barcelona,9,2,#004c99,#000000, 9
1978,Athletic Bilbao,6,4,#ee2523,#000000, 6
1978,Real Betis,1,6,#0BB363,#000000, 1
1978,Valencia,4,5,#ee3524,#000000, 4
1979,Sevilla,1,7,#f43333,#000000, 1
1979,Atlético Madrid,8,3,#CB3524,#000000, 8
1979,Real Madrid,19,1,#FEBE10,#000000, 19
1979,Barcelona,9,2,#004c99,#000000, 9
1979,Athletic Bilbao,6,4,#ee2523,#000000, 6
1979,Real Betis,1,6,#0BB363,#000000, 1
1979,Valencia,4,5,#ee3524,#000000, 4
1980,Sevilla,1,7,#f43333,#000000, 1
1980,Atlético Madrid,8,3,#CB3524,#000000, 8
1980,Real Madrid,20,1,#FEBE10,#000000, 20
1980,Barcelona,9,2,#004c99,#000000, 9
1980,Athletic Bilbao,6,4,#ee2523,#000000, 6
1980,Real Betis,1,6,#0BB363,#000000, 1
1980,Valencia,4,5,#ee3524,#000000, 4
1981,Real Sociedad,1,8,#0067b1,#000000, 1
1981,Sevilla,1,7,#f43333,#000000, 1
1981,Atlético Madrid,8,3,#CB3524,#000000, 8
1981,Real Madrid,20,1,#FEBE10,#000000, 20
1981,Barcelona,9,2,#004c99,#000000, 9
1981,Athletic Bilbao,6,4,#ee2523,#000000, 6
1981,Real Betis,1,6,#0BB363,#000000, 1
1981,Valencia,4,5,#ee3524,#000000, 4
1982,Real Sociedad,2,6,#0067b1,#000000, 2
1982,Sevilla,1,8,#f43333,#000000, 1
1982,Atlético Madrid,8,3,#CB3524,#000000, 8
1982,Real Madrid,20,1,#FEBE10,#000000, 20
1982,Barcelona,9,2,#004c99,#000000, 9
1982,Athletic Bilbao,6,4,#ee2523,#000000, 6
1982,Real Betis,1,7,#0BB363,#000000, 1
1982,Valencia,4,5,#ee3524,#000000, 4
1983,Real Sociedad,2,6,#0067b1,#000000, 2
1983,Sevilla,1,8,#f43333,#000000, 1
1983,Atlético Madrid,8,3,#CB3524,#000000, 8
1983,Real Madrid,20,1,#FEBE10,#000000, 20
1983,Barcelona,9,2,#004c99,#000000, 9
1983,Athletic Bilbao,7,4,#ee2523,#000000, 7
1983,Real Betis,1,7,#0BB363,#000000, 1
1983,Valencia,4,5,#ee3524,#000000, 4
1984,Real Sociedad,2,6,#0067b1,#000000, 2
1984,Sevilla,1,8,#f43333,#000000, 1
1984,Atlético Madrid,8,3,#CB3524,#000000, 8
1984,Real Madrid,20,1,#FEBE10,#000000, 20
1984,Barcelona,9,2,#004c99,#000000, 9
1984,Athletic Bilbao,8,4,#ee2523,#000000, 8
1984,Real Betis,1,7,#0BB363,#000000, 1
1984,Valencia,4,5,#ee3524,#000000, 4
1985,Real Sociedad,2,6,#0067b1,#000000, 2
1985,Sevilla,1,8,#f43333,#000000, 1
1985,Atlético Madrid,8,3,#CB3524,#000000, 8
1985,Real Madrid,20,1,#FEBE10,#000000, 20
1985,Barcelona,10,2,#004c99,#000000, 10
1985,Athletic Bilbao,8,4,#ee2523,#000000, 8
1985,Real Betis,1,7,#0BB363,#000000, 1
1985,Valencia,4,5,#ee3524,#000000, 4
1986,Real Sociedad,2,6,#0067b1,#000000, 2
1986,Sevilla,1,8,#f43333,#000000, 1
1986,Atlético Madrid,8,3,#CB3524,#000000, 8
1986,Real Madrid,21,1,#FEBE10,#000000, 21
1986,Barcelona,10,2,#004c99,#000000, 10
1986,Athletic Bilbao,8,4,#ee2523,#000000, 8
1986,Real Betis,1,7,#0BB363,#000000, 1
1986,Valencia,4,5,#ee3524,#000000, 4
1987,Real Sociedad,2,6,#0067b1,#000000, 2
1987,Sevilla,1,8,#f43333,#000000, 1
1987,Atlético Madrid,8,3,#CB3524,#000000, 8
1987,Real Madrid,22,1,#FEBE10,#000000, 22
1987,Barcelona,10,2,#004c99,#000000, 10
1987,Athletic Bilbao,8,4,#ee2523,#000000, 8
1987,Real Betis,1,7,#0BB363,#000000, 1
1987,Valencia,4,5,#ee3524,#000000, 4
